,DateTime,Open,High,Low,Close,Volume
39205,2024-03-07 18:20:00,938.0,938.8,938.0,938.8,2791
39206,2024-03-07 18:21:00,938.8,939.25,938.5,938.77,6092
39207,2024-03-07 18:22:00,938.5,938.5,938.0,938.42,1137
39208,2024-03-07 18:23:00,938.1,938.1358,937.63,937.8,1716
39209,2024-03-07 18:24:00,937.77,938.0,937.6901,937.6901,697
39210,2024-03-07 18:25:00,938.2096,938.28,937.88,938.25,1200
39211,2024-03-07 18:26:00,938.2601,938.5,938.252,938.4,2408
39212,2024-03-07 18:27:00,938.4,938.8,938.4,938.4226,3527
39213,2024-03-07 18:28:00,938.3997,938.4,938.38,938.4,690
39214,2024-03-07 18:29:00,938.289,938.55,938.289,938.55,1278
39215,2024-03-07 18:30:00,938.5112,938.65,938.5112,938.65,400
39216,2024-03-07 18:31:00,938.5,938.55,938.3,938.42,775
39217,2024-03-07 18:32:00,938.25,938.8,938.2,938.8,1549
39218,2024-03-07 18:33:00,938.75,939.5,938.75,939.5,7449
39219,2024-03-07 18:34:00,939.43,940.0,939.43,940.0,7710
39220,2024-03-07 18:35:00,940.0,940.75,926.69,940.75,64306
39221,2024-03-07 18:36:00,940.5,941.0,940.0,940.0,5662
39222,2024-03-07 18:37:00,940.0,940.6,939.5403,939.6,2311
39223,2024-03-07 18:38:00,940.0,940.39,939.96,939.96,871
39224,2024-03-07 18:39:00,939.81,940.4,939.81,940.01,2906
39225,2024-03-07 18:40:00,940.2,940.3618,940.0,940.0,1895
39226,2024-03-07 18:41:00,939.81,940.18,939.6,940.0,4228
39227,2024-03-07 18:42:00,939.72,940.0,939.72,940.0,1319
39228,2024-03-07 18:43:00,939.95,940.4,939.95,940.0,2783
39229,2024-03-07 18:44:00,940.24,940.4,939.81,939.81,2602
39230,2024-03-07 18:45:00,939.8,939.8,938.8,939.8,5466
39231,2024-03-07 18:46:00,939.98,940.06,939.58,939.6117,3187
39232,2024-03-07 18:47:00,939.99,939.99,939.4,939.4,2377
39233,2024-03-07 18:48:00,939.5,939.9,939.5,939.7,2150
39234,2024-03-07 18:49:00,939.75,939.89,939.75,939.89,400
39235,2024-03-07 18:50:00,939.7,939.8,939.51,939.65,1694
39236,2024-03-07 18:51:00,939.6,939.8,939.6,939.8,1904
39237,2024-03-07 18:52:00,939.89,940.09,939.89,939.971,1959
39238,2024-03-07 18:53:00,940.1753,940.43,940.09,940.43,2992
39239,2024-03-07 18:54:00,940.43,941.78,940.43,941.78,12064
39240,2024-03-07 18:55:00,941.78,942.39,941.78,942.39,6135
39241,2024-03-07 18:56:00,942.3994,942.4,941.36,942.3,8305
39242,2024-03-07 18:57:00,942.3,942.49,942.0,942.0,3602
39243,2024-03-07 18:58:00,942.3,942.78,942.0,942.6,6655
39244,2024-03-07 18:59:00,942.61,942.75,942.34,942.5,4524
39245,2024-03-07 19:00:00,942.55,943.48,942.55,943.48,4894
39246,2024-03-07 19:01:00,943.3,943.99,943.0,943.87,8499
39247,2024-03-07 19:02:00,943.87,944.0,943.32,943.5,5548
39248,2024-03-07 19:03:00,943.5,943.8,943.5,943.65,1358
39249,2024-03-07 19:04:00,943.78,944.4,943.65,943.65,6774
39250,2024-03-07 19:05:00,943.56,943.9,943.44,943.6,1889
39251,2024-03-07 19:06:00,943.7,943.7,943.0,943.0,4187
39252,2024-03-07 19:07:00,943.1,943.4,943.03,943.26,2700
39253,2024-03-07 19:08:00,943.35,943.9,943.35,943.9,2944
39254,2024-03-07 19:09:00,943.88,944.25,943.18,943.6699,9303
39255,2024-03-07 19:10:00,943.3,943.57,943.13,943.57,2071
39256,2024-03-07 19:11:00,943.22,943.62,943.22,943.62,1896
39257,2024-03-07 19:12:00,943.36,943.41,942.6,942.6,4423
39258,2024-03-07 19:13:00,942.75,943.68,942.74,943.68,4651
